index,f_bus,t_bus,br_x,rate_a
32,34,6696,0.042172555913682276,1.4
29,485,6692,0.007816499306028768,17.0
1,33,34,0.08333537987603305,1.4
54,41,7770,0.0012952575012915512,17.0
2,33,34,0.08333537987603305,1.4
74,486,487,0.038088642659279776,10.0
41,7618,7626,0.2568261594054178,1.4
65,487,7795,0.007051245430152356,17.0
51,25,7695,0.0036141759159487533,17.0
53,45,7695,0.010709442270353187,17.0
27,486,6691,0.0976044067653811,1.4
75,35,36,0.038088642659279776,10.0
42,35,7626,0.031307385121671256,1.4
33,34,6696,0.042172555913682276,1.4
28,485,6692,0.007816499306028768,17.0
50,25,7695,0.0036141759159487533,17.0
52,45,7695,0.010709442270353187,17.0
63,25,7795,0.0022782089957375344,17.0
26,486,6691,0.0976044067653811,1.4
10,40,485,0.0034868255710249307,17.0
77,6691,6692,0.038088642659279776,10.0
24,39,6684,0.04378681052341597,1.4
58,7631,7770,0.0033901734153774237,17.0
25,39,6684,0.04378681052341597,1.4
23,39,6684,0.04276812016132507,1.4
49,487,7631,0.0007446870910076178,17.0
59,7631,7770,0.0033901734153774237,17.0
5,24,34,0.04374586060146923,1.4
31,485,6692,0.008097334791024929,17.0
62,25,7795,0.0022782089957375344,17.0
43,35,7626,0.031307385121671256,1.4
39,38,7618,0.16486464344352617,1.4
34,34,6696,0.040371268406342975,1.4
44,37,7626,0.12479365912764004,1.4
55,41,7770,0.0012952575012915512,17.0
17,36,489,0.007455620837901663,17.0
71,7695,7826,0.0017778300866412742,17.0
37,38,7618,0.1747447346854913,1.4
47,489,7631,0.011972100981447369,17.0
9,44,45,0.006278423279968835,17.0
73,39,40,0.038088642659279776,10.0
12,41,485,0.003870527956966759,17.0
20,488,6661,0.05854431968778696,1.4
6,25,42,0.0038585744410214685,17.0
70,7695,7826,0.0017778300866412742,17.0
14,40,489,0.0062862445976939055,17.0
7,25,42,0.0038585744410214685,17.0
57,43,7770,0.004123939303995846,17.0
8,44,45,0.006278423279968835,17.0
64,487,7795,0.007051245430152356,17.0
19,488,6661,0.05673881021440749,1.4
69,42,7826,0.001489159448331025,17.0
60,43,7795,0.005905358225259696,17.0
4,24,34,0.04289771346367585,1.4
22,39,6684,0.04276812016132507,1.4
11,40,485,0.0034868255710249307,17.0
35,34,6696,0.040371268406342975,1.4
13,41,485,0.003870527956966759,17.0
15,40,489,0.0062862445976939055,17.0
61,43,7795,0.005905358225259696,17.0
67,44,7826,0.0052042443176973695,17.0
16,36,489,0.007455620837901663,17.0
40,7618,7626,0.2568261594054178,1.4
21,488,6661,0.05854431968778696,1.4
38,38,7618,0.16486464344352617,1.4
46,489,7631,0.011972100981447369,17.0
72,488,489,0.038088642659279776,10.0
45,37,7626,0.12479365912764004,1.4
68,42,7826,0.001489159448331025,17.0
56,43,7770,0.004123939303995846,17.0
36,38,7618,0.1747447346854913,1.4
66,44,7826,0.0052042443176973695,17.0
76,24,25,0.038088642659279776,10.0
48,487,7631,0.0007446870910076178,17.0
18,488,6661,0.05673881021440749,1.4
30,485,6692,0.008097334791024929,17.0
3,33,34,0.08333537987603305,1.4
