id1,id2,susceptance,max flow
4,25,-21.89318929,1.4
16,24,-122.1339084,17
3,4,-10.60600938,1.4
13,30,-239.809336,17
1,4,-20.60379796,1.4
1,2,-26.21987455,10
5,27,-28.23154401,1.4
14,32,-190.0293464,17
15,29,-92.34459844,17
11,30,-763.5231952,17
16,24,-126.5220027,17
23,24,-26.21987455,10
7,27,-7.082537905,1.4
4,25,-21.89318929,1.4
16,24,-122.1339084,17
15,29,-92.34459844,17
11,30,-763.5231952,17
18,31,-140.2531164,17
16,24,-126.5220027,17
11,16,-255.5101415,17
17,23,-9.055490938,1.4
13,31,-167.4681041,17
17,23,-9.055490938,1.4
9,22,-20.18543508,1.4
2,29,-273.6333729,17
13,31,-167.4681041,17
2,12,-256.3016889,17
4,25,-20.95808048,1.4
18,31,-140.2531164,17
7,27,-7.082537905,1.4
26,27,-3.441455586,1.4
8,26,-5.057982563,1.4
20,28,-82.60531276,17
13,30,-239.809336,17
19,21,-15.57762346,1.4
9,10,-26.21987455,10
8,26,-5.361099885,1.4
18,28,-1328.019725,17
10,16,-283.6273642,17
5,6,-26.21987455,10
10,20,-157.3211368,17
9,22,-20.66623031,1.4
14,15,-157.5171189,17
19,20,-26.21987455,10
6,20,-132.6461159,17
14,15,-157.5171189,17
28,30,-291.7134391,17
10,16,-283.6273642,17
14,32,-190.0293464,17
19,21,-15.09720885,1.4
29,32,-556.273152,17
2,31,-434.0950053,17
2,12,-256.3016889,17
9,22,-20.18543508,1.4
11,16,-255.5101415,17
8,26,-5.057982563,1.4
10,20,-157.3211368,17
6,20,-132.6461159,17
2,31,-434.0950053,17
12,32,-664.1056115,17
19,21,-15.57762346,1.4
5,27,-28.23154401,1.4
9,22,-20.66623031,1.4
26,27,-3.441455586,1.4
18,28,-1328.019725,17
17,18,-26.21987455,10
20,28,-82.60531276,17
29,32,-556.273152,17
28,30,-291.7134391,17
8,26,-5.361099885,1.4
12,32,-664.1056115,17
2,29,-273.6333729,17
19,21,-15.09720885,1.4
4,25,-20.95808048,1.4
1,4,-20.2043304,1.4
